Time,0-sgen-0-16.p_mw,0-sgen-1-17.p_mw,0-sgen-10-35.p_mw,0-sgen-11-37.p_mw,0-sgen-12-39.p_mw,0-sgen-13-40.p_mw,0-sgen-14-43.p_mw,0-sgen-15-45.p_mw,0-sgen-16-50.p_mw,0-sgen-17-53.p_mw,0-sgen-18-55.p_mw,0-sgen-19-57.p_mw,0-sgen-2-20.p_mw,0-sgen-20-63.p_mw,0-sgen-21-65.p_mw,0-sgen-22-67.p_mw,0-sgen-23-71.p_mw,0-sgen-24-80.p_mw,0-sgen-3-22.p_mw,0-sgen-4-23.p_mw,0-sgen-5-25.p_mw,0-sgen-6-28.p_mw,0-sgen-7-30.p_mw,0-sgen-8-32.p_mw,0-sgen-9-33.p_mw
1483279200000,4.680411494530811,0.001780293605374,0.026704404080617,0.026110972878826,4.680411494530811,0.027297835282409,9.360822989061624,0.007714605623289,0.019583229659119,0.019583229659119,7.796552,0.009494899228664,0.024330679273451,0.018989798457328,0.016616073650162,0.014835780044787,0.049254789748694,0.000593431201791,4.680411494530811,4.680411494530811,0.049254789748694,0.026110972878826,0.029078128887783,2.728267,0.049254789748694
1483280100000,4.656367124547113,0.001530231400846,0.02295347101269,0.022443393879074,4.656367124547113,0.023463548146305,9.312734249094229,0.006631002736999,0.016832545409306,0.016832545409306,7.374138,0.008161234137845,0.020913162478228,0.01632246827569,0.014282159741229,0.012751928340383,0.042336402090072,0.000510077133615,4.656367124547113,4.656367124547113,0.042336402090072,0.022443393879074,0.024993779547151,2.903484,0.042336402090072
1483281000000,4.6901501452826,0.001280169196317,0.019202537944762,0.018775814879323,4.6901501452826,0.019629261010202,9.3803002905652,0.005547399850709,0.014081861159492,0.014081861159492,7.687931,0.006827569047027,0.017495645683006,0.013655138094053,0.011948245832297,0.010668076635979,0.035418014431451,0.000426723065439,4.6901501452826,4.6901501452826,0.035418014431451,0.018775814879323,0.020909430206519,3.114275,0.035418014431451
1483281900000,4.642931639454689,0.000940532470764,0.014107987061458,0.01379447623787,4.642931639454689,0.014421497885046,9.285863278909378,0.004075640706643,0.010345857178403,0.010345857178403,8.146552,0.005016173177407,0.012853943767106,0.010032346354815,0.008778303060463,0.007837770589699,0.0260213983578,0.000313510823588,4.642931639454689,4.642931639454689,0.0260213983578,0.01379447623787,0.01536203035581,3.218564,0.0260213983578
1483282800000,4.626540015491496,0.000690470266235,0.010357053993531,0.010126897238119,4.626540015491496,0.010587210748943,9.253080030982993,0.002992037820353,0.007595172928589,0.007595172928589,8.544828,0.003682508086589,0.009436426971884,0.007365016173177,0.00644438915153,0.005753918885295,0.019103010699179,0.000230156755412,4.626540015491496,4.626540015491496,0.019103010699179,0.010126897238119,0.011277681015178,3.424932,0.019103010699179
1483283700000,4.628881676057666,0.000485195322219,0.007277929833292,0.007116198059219,4.628881676057666,0.007439661607365,9.257763352115331,0.002102513062951,0.005337148544414,0.005337148544414,7.784483,0.00258770838517,0.006631002736999,0.005175416770341,0.004528489674048,0.004043294351829,0.013423737248072,0.000161731774073,4.628881676057666,4.628881676057666,0.013423737248072,0.007116198059219,0.007924856929584,3.755723,0.013423737248072
1483284600000,4.668234859586725,0.000283652649913,0.004254789748694,0.004160238865389,4.668234859586725,0.004349340631998,9.33646971917345,0.001229161482956,0.003120179149042,0.003120179149042,8.412069,0.001512814132869,0.003876586215476,0.003025628265738,0.002647424732521,0.002363772082608,0.007847723314257,9.4550883304e-05,4.668234859586725,4.668234859586725,0.007847723314257,0.004160238865389,0.004632993281911,3.915507,0.007847723314257
1483285500000,4.750332482585353,0.000100771336153,0.001511570042299,0.001477979596915,4.750332482585353,0.001545160487684,9.500664965170706,0.000436675789998,0.001108484697686,0.001108484697686,7.362069,0.000537447126151,0.001377208260761,0.001074894252302,0.000940532470764,0.000839761134611,0.002788006966907,3.3590445384e-05,4.750332482585353,4.750332482585353,0.002788006966907,0.001477979596915,0.001645931823837,4.110396,0.002788006966907
1483286400000,4.8369971740641,1.4929086838e-05,0.000223936302563,0.000218959940284,4.8369971740641,0.000228912664842,9.6739943481282,6.4692709629e-05,0.000164219955213,0.000164219955213,8.75,7.9621796467e-05,0.000204030853446,0.000159243592934,0.000139338143817,0.000124409056979,0.000413038069171,4.976362279e-06,4.8369971740641,4.8369971740641,0.000413038069171,0.000218959940284,0.00024384175168,4.450646,0.000413038069171
1483287300000,4.782182387789619,0.0,0.0,0.0,4.782182387789619,0.0,9.564364775579238,0.0,0.0,0.0,7.832759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782182387789619,4.782182387789619,0.0,0.0,0.0,4.08537,0.0
